CASEID	Q1	Q3B	Q4	Q6_COMP	Q66A	Q66B	Q66C	Q66D	Q66E	Q66F	Q66G	Q66H	Q66I	Q66J	Q66K	Q68A	Q68B	Q68C	Q68D	Q68E	Q68F	Q68G	Q68H	Q68I	Q68J	Q68K
7246	2	11	5	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9938	1	10	5	2	5	5	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1
11184	1	10	5	2	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
3088	2	10	5	6	2	2	1	2	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1
7102	2	10	5	2	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7555	2	10	5	6	2	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
7918	2	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10577	2	11	5	1	5	3	4	3	3	5	2	1	5	2	5	5	3	4	3	3	5	2	1	5	2	5
11945	2	10	5	7	5	5	5	5	5	4	3	1	1	5	1	3	2	1	2	1	1	1	1	1	1	1
6395	1	10	5	NA	4	5	3	4	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7792	2	11	5	1	1	1	5	5	5	5	5	1	1	1	1	1	2	4	5	1	2	1	2	1	2	1
5261	1	10	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10373	2	10	5	NA	2	1	1	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
10848	2	11	5	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6388	1	11	5	2	1	1	1	1	1	1	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
515	1	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1879	1	10	5	7	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2379	1	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2455	1	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2691	1	11	5	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9660	1	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
605	2	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1698	2	10	5	6	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2796	2	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5434	2	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5689	2	10	5	2	2	5	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
6416	1	10	5	2	2	3	1	3	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
5969	2	10	5	2	2	2	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1
5693	1	10	5	2	1	2	1	2	2	3	2	1	5	1	2	1	1	1	2	2	2	1	1	1	1	1
4220	1	11	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1877	1	11	5	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2040	1	10	5	2	1	1	2	2	2	5	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4849	1	10	5	NA	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	1	1	1	1
5079	1	10	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7428	1	10	5	NA	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10885	1	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3057	2	10	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5961	2	11	5	2	1	4	2	4	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
